10:07:38 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 7:49:38 AM
15:07:31 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 0, mgr: ExecuteSelect, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:00 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 5, mgr: ProcessReadQueue, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:00 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 5, mgr: ProcessReadQueue, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:39 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 4, mgr: ExecuteSelect, err: never, queue: 1, qu: 0, qs: 1, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:36 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 1, mgr: ExecuteSelect, err: never, queue: 1, qu: 0, qs: 1, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:39 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 4, mgr: ExecuteSelect, err: never, queue: 1, qu: 0, qs: 1, qc: 0, wr: 0, wq: 0, in: 0, ar: 0, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:27 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 5, mgr: ProcessReadQueue, err: never, queue: 2, qu: 0, qs: 2, qc: 0, wr: 0, wq: 0, in: 8, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:22 || Communicator.ConnectorGlobal.SendRedisChannel || ERROR: Timeout performing PUBLISH hybridge_merchant_commands, inst: 3, mgr: CheckForStaleConnections, err: never, queue: 0, qu: 0, qs: 0, qc: 0, wr: 0, wq: 0, in: 0, ar: 1, clientName: HEYTHAMALSHCE19, serverEndpoint: 77.223.158.50:6379, IOCP: (Busy=0,Free=1000,Min=4,Max=1000), WORKER: (Busy=12,Free=1011,Min=4,Max=1023) (Please take a look at this article for some common client-side issues that can cause timeouts: http://stackexchange.github.io/StackExchange.Redis/Timeouts)
15:07:47 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 12:21:47 PM
15:07:08 || Communicator.BetradarComService.timerRedisChannel_Tick || ERROR: Timeout for the requested operation has expired.
