01:07:39 || Communicator.BetradarComService.OnStart || Connector Start at UTC: 7/29/2017 10:15:39 PM
01:07:43 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:52 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:52 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:52 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:53 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:53 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:55 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:55 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
01:07:55 || Communicator.BetradarComService+<>c.<timerRedisChannel_Tick>b__6_0 || ERROR: Cannot deserialize the message passed as an argument. Cannot recognize the serialization format.
